10638 MacAllister     Kwame      L         100  70  93  75  76  97  80  95  91  88
10115 Papadopoulos    Luca       Rose       99  79  69  77  80  89  75  91  70  72
10222 Kim             Mei        G         100  62  77  93  99  67  96  70  93  98
10394 Yamamoto        Carlos     James      94  79  96  97  85  73  63  66  92  91
10692 Hernandez       Minho      Jean       95  77  76  94  92  90  65  97  92  89
10657 Khan            Raj        Y         100  73  70  71  67  94  80  84  94  88
10533 Dubois          Raj        J          83  90  66  85  71  81  93  98  72  93
10525 Adams           Isabella   T          66  84  64  64  89  92  77  81  92  91
10474 Leclerc         Chloe      Lee        85  91  64  86  63  92  84  65  73  79
10369 Gonzalez        Thabo      C          71  67  84  98  71  74  63  93  81  64
10679 Singh           Kwame      A          78  72  64  94  94  89  70  71  93  98
10653 Müller          Luca       Grace      99  65  76  94  75  92  81  88  71  84
10170 Kim             Ananya     A          92  80  85  70  72  84  98  86  92  89
10535 Al-Masri        Sebastian  W          67  94  93  64  87  77  76  64  74  83
10194 Singh           Xinyi      Claire     98  76  88  86  96  85  69  71  76  73
10483 Dubois          Camille    B          66  97  96  90  63  88  84  72  97  87
10398 Papadopoulos    Chloe      Z          96  64  80  88  97  90  90  93  87  78
10495 Nguyen          Minho      Alan       80  95  75  67  80  70  96  88  97  92
10213 Dimitrov        Lena       C          83  96  91  90  94  63  67  80  90  92
10363 Fernandez       Elizabeth  D          91  66  73  95  84  75  91  82  64  71
10301 Adams           Viktor     Grace      81  66  91  77  65  73  91  86  83  99
10182 González        Mei        Rose       95  73  91  92  86  75  65  86  98  76
10577 Chakrabarti     Connor     L          72  92  91  84  98  87  80  91  99  92
10314 Yamamoto        Haruto     X          77  78  70  79  92  74  91  65  74  88
10589 Al-Masri        Aarav      K          67  91  65  69  78  81  86  95  98  64
10604 Hernandez       Camille    T          91  64  63  73  89  71  93  89  96  97
10693 Singh           Diego      James      79  85  64  64  64  81  64  83  77  88
10690 MacAllister     Emily      M          85  84  98  91  79  93  74  72  74  69
10148 Tshabalala      Aarav      Claire     95  91  84  66  75  77  67  66  89  91
10620 Yamamoto        Yannis     H          90  73  99  71  83  91  91  67  74  89
10510 Nguyen          Isabella   J          75  92  91  96  75  70  65  65  70  66
10626 MacAllister     Haruto     Grace      84  83  96  64  75  67  86  95  71  89
10537 Patel           Sofia      E          64  88  79  66  91  92  93  88  98  98
10628 Adams           Elizabeth  Ann        72  80  64  76  89  86  95  87  78  77
10641 Singh           Raj        F          96  74  91  97  69  88  88  82  66  90
10637 Leclerc         Sebastian  Jean       75  73  86  96  70  99  89  98  72  75
10562 Ivanov          Minho      L          79  71  87  90  91  94  84  86  89  71
10512 López           Camille    D          64  74  70  92  93  79  91  87  70  83
10210 Grünwald        Zain       L          86  95  75  66  89  70  89  64  85  71
10573 Yuki            Haruto     Rose       96  80  91  75  70  66  90  97  96  95
10552 Tanaka          Isabella   P          72  71  80  73  91  95  84  97  90  86
10293 Dubois          Diego      Alan       86  80  66  71  84  98  81  89  87  84
10441 MacAllister     Zain       G          90  88  98  99  97  86  91  79  90  97
10629 Khan            Chloe      C          93  72  81  84  90  72  65  64  91  74
10285 Fernández       Chloe      J          77  75  99  76  84  84  72  77  72  91
10476 Kim             Viktor     A          70  66  70  97  66  70  64  91  87  70
10220 Nakamura        Sofia      B          94  84  77  89  96  96  84  89  97  93
10480 Patel           Yuki       Jean       66  92  86  70  99  71  92  70  92  91
10698 Singh           Chloe      Marie      99  91  79  88  77  84  72  75  71  66
10135 Dimitrov        Sebastian  G          96  95  66  94  97  66  90  91  94  92
10735 Salazar         Nadia      M          99  92  70  88  91  78  93  95  87  85
10560 Farouk          Leila      Rose       92  90  84  86  97  77  90  89  99  88
10721 Zhang           Wei        J          95  85  91  87  86  93  77  91  97  84
10458 Kowalczyk       Tomasz     Alan       89  83  79  85  81  70  73  78  92  94
10768 Adeyemi         Ifeoma     B          82  77  96  75  78  85  97  93  96  91
10599 Baranov         Dmitri     K          91  86  70  92  80  81  90  89  84  87
10297 Ahmadi          Zahra      Marie      84  73  92  88  90  85  91  74  75  93
10489 Mori            Satoshi    L          98  79  83  86  70  71  85  91  90  94
10763 Jaramillo       Camila     A          79  85  97  81  91  90  88  93  92  87
10571 Andersson       Freja      Grace      77  72  91  80  82  86  88  85  79  90
10423 Mbatha          Sipho      D          91  96  92  84  87  89  90  93  94  88
10748 Petrov          Anastasia  T          86  73  89  90  91  93  78  76  70  88
10490 Okafor          Chidi      J          90  85  91  92  97  84  88  93  95  96
10327 Bianchi         Alessandro Z          76  84  88  91  94  85  90  78  80  86
10686 Lefevre         Lucie      H          83  87  89  92  90  79  82  91  93  88
10335 Nakamoto        Riku       Ann        91  94  89  95  88  86  84  83  90  92
10238 Hassan          Nour       C          87  79  81  83  90  88  86  87  89  91
10615 Torres          Joaquin    John       92  93  96  91  89  94  85  83  90  88
10586 Ibrahim         Samira     N          79  75  88  90  86  91  84  92  93  95
10112 Novak           Petra      L          88  87  89  90  91  93  94  86  82  85
10774 Yeoh            Jia        K          86  83  81  89  91  90  87  88  90  84
10162 Reddy           Aarush     Alan       95  92  93  90  91  89  88  94  97  98
